n_cliques,c_max,m1,m2,m3,sbar,degeneracy,family,tau,kbar_target,n,seed,kbar,secs
27606,26,2.0309353039194376,8.48569151633703,85.78207636021156,3.178218528163237,26,hrg,2.1,2.0,30000,1,2.015,0.99
40021,12,2.0229629444541617,5.985832437970066,27.611379026011345,1.9589431948716047,17,config,2.1,2.0,30000,1,1.9248666666666667,1.14
27802,21,1.9141428674196102,6.484965110423711,42.35878713761599,2.387921153015014,20,hrg,2.1,2.0,30000,2,1.8566,1.08
36993,10,1.8411591382153383,4.4300813667450605,14.33454977968805,1.4061371311114375,12,config,2.1,2.0,30000,2,1.7038666666666666,1.22
27706,23,1.6358189561827765,4.544142063091029,28.80386919800765,1.7779003574423027,22,hrg,2.1,2.0,30000,3,1.2833333333333334,1.0
34789,10,1.6581678116646064,3.6243640231107532,11.381586133547959,1.185764310231252,14,config,2.1,2.0,30000,3,1.2501333333333333,1.1
93296,44,2.0265070313839817,10.332543731778427,171.59911464585835,4.098696215587234,44,hrg,2.1,2.0,100000,1,1.98684,2.79
133510,19,2.354857314058872,11.3285222080743,102.50254662572092,3.810704300613555,28,config,2.1,2.0,100000,1,1.85076,3.53
93629,47,2.0334084525093723,10.619530273739976,177.45418620299264,4.2225268664712745,46,hrg,2.1,2.0,100000,2,2.0083,3.39
130195,23,2.2780982372594956,11.325265947232998,119.05110795345446,3.9713685573353743,28,config,2.1,2.0,100000,2,1.85634,4.11
95235,36,2.468745734236363,12.491279466582663,149.29262351026406,4.059767514067822,36,hrg,2.1,2.0,100000,3,2.9244,5.92
133481,15,2.1995639828889506,6.7448700564125215,30.992425888328675,2.066457765667574,19,config,2.1,2.0,100000,3,2.41368,7.06
285459,64,2.0676419380716666,14.21027538105297,416.6757783079181,5.87269643713351,66,hrg,2.1,2.0,300000,1,1.9827066666666666,12.18
388634,24,2.4409933253395226,13.999559997323962,160.47609061482012,4.735189790155094,36,config,2.1,2.0,300000,1,1.7325533333333334,16.23
